sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species
SAMN03375744	Hoeflea sp. IMCC20628	99.997	1620421	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea	Hoeflea sp. IMCC20628
SAMN04283684	Agromyces aureus	99.998	453304	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Agromyces aureus
SAMEA3986617	Mycobacteroides abscessus	99.999	36809	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides abscessus
SAMN00254345	Leptospira interrogans	100.0	173	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans
SAMN08093273	Helicobacter pylori	100.0	210	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
SAMN07255131	Francisella tularensis	100.0	263	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis
SAMN09209470	Pseudomonas putida	100.0	303	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
SAMN03996793	Acetobacter aceti	100.0	435	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter aceti
SAMN10374758	Legionella pneumophila	100.0	446	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila
SAMD00058712	Alcaligenes faecalis	100.0	511	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis
SAMN06232396	Escherichia coli	100.0	562	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
SAMN07278976	Klebsiella pneumoniae	100.0	573	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
SAMEA104313147	Vibrio cholerae	100.0	666	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
SAMN04579285	Aliivibrio fischeri	100.0	668	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri
SAMN06239969	Pasteurella multocida	100.0	747	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
SAMN08029050	Coxiella burnetii	100.0	777	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella burnetii
SAMN00249586	Fusobacterium necrophorum	100.0	859	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
SAMN07284948	Desulfovibrio vulgaris	100.0	881	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris
SAMN04304689	Staphylococcus simulans	100.0	1286	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus simulans
SAMN05223080	Streptococcus pneumoniae	100.0	1313	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
SAMEA2785478	Enterococcus faecalis	100.0	1351	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
SAMN06675502	Clostridioides difficile	100.0	1496	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
SAMN10141082	Listeria monocytogenes	100.0	1639	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
SAMEA4624184	Renibacterium salmoninarum	100.0	1646	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium	Renibacterium salmoninarum
SAMD00029876	Erysipelothrix rhusiopathiae	100.0	1648	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix rhusiopathiae
SAMN06437486	Cutibacterium acnes	100.0	1747	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
SAMN05391748	Mycoplasma pneumoniae	100.0	2104	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma pneumoniae
SAMN07428443	Colwellia psychrerythraea	100.0	28229	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia psychrerythraea
SAMEA104423913	Salmonella enterica	100.0	28901	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
SAMD00128991	Lawsonia intracellularis	100.0	29546	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Lawsonia	Lawsonia intracellularis
SAMN08630307	Taylorella equigenitalis	100.0	29575	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Taylorella	Taylorella equigenitalis
SAMN08795114	Stenotrophomonas maltophilia	100.0	40324	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
SAMN06560374	Borrelia recurrentis	100.0	44449	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia recurrentis
SAMN03253055	Chlamydia pecorum	100.0	85991	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia pecorum
SAMN00139180	Aeromicrobium marinum	100.0	219314	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium marinum
SAMN08913342	Mycobacterium colombiense	100.0	339268	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium colombiense
SAMN02379489	Treponema pedis	100.0	409322	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema pedis
SAMN08330872	Gloeobacter kilaueensis	100.0	1416614	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter kilaueensis
SAMN08912824	Bacillus glycinifermentans	100.0	1664069	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus glycinifermentans
